GeneID	HZHBY	HZHBZ	HZHCA	HZHCB	HZHCC
jgi.p|Suilu4|10576	57	72	51	47	57
jgi.p|Suilu4|105799	275	500	276	495	422
jgi.p|Suilu4|105932	346	546	343	403	343
jgi.p|Suilu4|106127	30	62	57	64	49
jgi.p|Suilu4|1062004	0	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0
jgi.p|Suilu4|106313	0	0	0	0	0
jgi.p|Suilu4|1063432	448	789	468	212	236
jgi.p|Suilu4|10638	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0
jgi.p|Suilu4|106419	391	537	283	472	320
jgi.p|Suilu4|10642	0	0	0	0	0
jgi.p|Suilu4|106420	137	271	215	279	308
jgi.p|Suilu4|106445	921	1307	595	556	502
jgi.p|Suilu4|106512	136	232	161	276	212
jgi.p|Suilu4|106594	23	27	6	33	21
jgi.p|Suilu4|1066669	417	726	411	462	431
jgi.p|Suilu4|10667	1234	2267	1251	1952	1537
jgi.p|Suilu4|106848	0	0	0	0	0
jgi.p|Suilu4|107023	361	550	254	572	447
jgi.p|Suilu4|107028	31	41	18	44	25
jgi.p|Suilu4|1070409	0	0	0	1	0
jgi.p|Suilu4|10711	1468	2633	1399	1957	1547
jgi.p|Suilu4|10712	523	833	385	703	566
jgi.p|Suilu4|1073756	1525	2567	1713	1039	920
jgi.p|Suilu4|1074661	791	1282	769	460	350
jgi.p|Suilu4|1074667	1	4	3	2	4
jgi.p|Suilu4|1075213	0	0	0	0	0
jgi.p|Suilu4|10757	416	733	370	1120	1087
jgi.p|Suilu4|107603	0	0	0	0	0
jgi.p|Suilu4|107633	0	0	1	3	0
jgi.p|Suilu4|107703	122	150	19	8	8
jgi.p|Suilu4|107719	0	0	0	0	0
jgi.p|Suilu4|107730	0	0	0	0	0
jgi.p|Suilu4|1077578	15	13	6	40	17
jgi.p|Suilu4|107813	0	0	0	0	0
jgi.p|Suilu4|107840	0	0	0	0	0
jgi.p|Suilu4|107841	0	0	0	0	0
jgi.p|Suilu4|107948	0	0	0	0	0
jgi.p|Suilu4|107949	0	0	0	0	0
jgi.p|Suilu4|107951	0	0	0	0	0
jgi.p|Suilu4|108059	31	55	42	15	25
jgi.p|Suilu4|10847	782	1175	739	780	556
jgi.p|Suilu4|108488	0	0	0	0	0
jgi.p|Suilu4|108502	0	0	0	0	0
jgi.p|Suilu4|10854	355	639	319	378	241
jgi.p|Suilu4|108553	0	0	0	0	0
jgi.p|Suilu4|108622	0	0	0	0	0
jgi.p|Suilu4|10863	51	140	63	111	120
jgi.p|Suilu4|108648	155	199	146	229	206
jgi.p|Suilu4|108662	0	0	0	0	0
jgi.p|Suilu4|108667	0	0	0	0	0
jgi.p|Suilu4|108689	60	146	70	162	116
jgi.p|Suilu4|1087133	0	0	0	0	0
jgi.p|Suilu4|10873	366	640	336	661	573
jgi.p|Suilu4|1087995	1	0	4	1	2
jgi.p|Suilu4|1088222	36	48	17	18	13
jgi.p|Suilu4|1088397	9	19	4	10	16
jgi.p|Suilu4|108927	0	0	0	0	0
jgi.p|Suilu4|108995	0	0	0	0	0
jgi.p|Suilu4|108996	0	0	0	0	0
jgi.p|Suilu4|108997	0	0	0	0	0
jgi.p|Suilu4|109000	0	0	0	0	0
jgi.p|Suilu4|109084	0	0	0	0	0
jgi.p|Suilu4|109090	0	0	0	0	0
jgi.p|Suilu4|1090955	134	309	112	76	62
jgi.p|Suilu4|1091014	0	0	0	0	0
jgi.p|Suilu4|109170	0	0	0	0	0
jgi.p|Suilu4|109171	0	0	0	0	0
jgi.p|Suilu4|109194	9	14	12	5	2
jgi.p|Suilu4|109226	0	0	0	0	0
jgi.p|Suilu4|1092383	1	3	1	0	3
jgi.p|Suilu4|109249	3	1	1	3	1
jgi.p|Suilu4|109297	0	0	0	0	0
jgi.p|Suilu4|109299	0	0	0	0	0
jgi.p|Suilu4|109328	0	0	0	0	0
jgi.p|Suilu4|1093361	423	717	386	284	241
jgi.p|Suilu4|109403	0	0	0	0	0
jgi.p|Suilu4|109435	0	0	0	0	0
jgi.p|Suilu4|109460	0	1	2	3	0
jgi.p|Suilu4|109475	0	0	0	0	0
jgi.p|Suilu4|109516	0	0	0	0	0
jgi.p|Suilu4|109581	0	0	0	0	0
jgi.p|Suilu4|1097602	2166	3915	1846	3701	3090
jgi.p|Suilu4|10982	225	375	215	405	340
jgi.p|Suilu4|109859	0	0	0	0	0
jgi.p|Suilu4|110014	0	0	0	0	0
jgi.p|Suilu4|110062	10	13	15	14	17
jgi.p|Suilu4|11009	227	353	187	346	339
jgi.p|Suilu4|110122	0	0	0	0	0
jgi.p|Suilu4|11019	11	30	8	23	21
jgi.p|Suilu4|110195	0	0	0	0	0
jgi.p|Suilu4|110198	0	0	0	0	0
jgi.p|Suilu4|110289	0	0	0	0	0
jgi.p|Suilu4|110405	0	0	0	0	0
jgi.p|Suilu4|110412	0	0	0	0	0
jgi.p|Suilu4|110421	0	0	0	0	0
jgi.p|Suilu4|110422	0	0	0	0	0
jgi.p|Suilu4|1104796	1	3	0	2	1
jgi.p|Suilu4|110494	0	0	0	0	0
jgi.p|Suilu4|1105188	4	6	4	2	7
jgi.p|Suilu4|1105231	0	0	0	0	0
jgi.p|Suilu4|110535	0	0	0	0	0
jgi.p|Suilu4|110568	0	0	0	0	0
jgi.p|Suilu4|110580	0	0	0	0	0
jgi.p|Suilu4|110587	0	0	0	0	0
jgi.p|Suilu4|110608	0	0	0	0	0
jgi.p|Suilu4|110630	0	0	0	0	0
jgi.p|Suilu4|110674	0	0	0	0	0
jgi.p|Suilu4|110686	0	0	0	0	0
jgi.p|Suilu4|110703	0	0	0	0	0
jgi.p|Suilu4|110742	0	0	0	0	0
jgi.p|Suilu4|110787	0	0	0	0	0
jgi.p|Suilu4|110824	0	0	0	0	1
jgi.p|Suilu4|110832	0	0	0	0	0
jgi.p|Suilu4|110867	0	0	0	0	0
jgi.p|Suilu4|110922	0	0	0	0	0
jgi.p|Suilu4|110960	0	0	0	0	0
jgi.p|Suilu4|110967	0	0	0	0	0
jgi.p|Suilu4|110971	0	0	0	0	0
jgi.p|Suilu4|110988	0	0	0	0	0
jgi.p|Suilu4|111007	0	0	0	0	0
jgi.p|Suilu4|111014	4	1	2	9	6
jgi.p|Suilu4|111021	0	0	0	0	0
jgi.p|Suilu4|111077	0	0	0	0	0
jgi.p|Suilu4|111080	0	0	0	0	0
jgi.p|Suilu4|111126	0	0	0	0	0
jgi.p|Suilu4|111127	0	0	0	0	0
jgi.p|Suilu4|111130	0	0	0	0	0
jgi.p|Suilu4|111179	0	0	0	0	0
jgi.p|Suilu4|111243	0	0	0	0	0
jgi.p|Suilu4|111257	0	0	0	0	0
jgi.p|Suilu4|11126	710	1037	592	727	540
jgi.p|Suilu4|111261	0	0	0	0	0
jgi.p|Suilu4|111295	0	0	0	0	0
jgi.p|Suilu4|111297	0	0	0	0	0
jgi.p|Suilu4|111310	0	0	0	0	0
jgi.p|Suilu4|111319	0	0	0	0	0
jgi.p|Suilu4|111353	0	0	0	0	0
jgi.p|Suilu4|111373	0	0	0	0	0
jgi.p|Suilu4|111376	0	0	0	0	0
jgi.p|Suilu4|1114217	236	388	155	250	192
jgi.p|Suilu4|1115341	405	695	408	390	313
jgi.p|Suilu4|1118089	1191	2088	949	1214	789
jgi.p|Suilu4|1118613	458	758	391	439	327
jgi.p|Suilu4|1118978	139	239	166	178	177
jgi.p|Suilu4|11208	0	0	0	0	0
