GeneID	GO_Term
20090	"GO:0005509,GO:0006810,GO:0005743,GO:0005488"
20186	GO:0005488
20434	"GO:0008237,GO:0006508,GO:0046983,GO:0016787,GO:0004226"
20707	"GO:0006118,GO:0003995,GO:0016627,GO:0008152,GO:0050660"
20737	GO:0019211
20739	"GO:0016491,GO:0008152,GO:0032115"
20776	GO:0047429
20854	GO:0004592
20971	GO:0016804
21053	"GO:0008152,GO:0009000"
21056	GO:0050800
21117	"GO:0042025,GO:0006355,GO:0003700,GO:0003968"
21162	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004682"
21173	GO:0008112
21232	"GO:0008652,GO:0006561,GO:0004349,GO:0003723,GO:0005737"
21312	"GO:0019752,GO:0004451,GO:0003824"
21344	GO:0005515
21494	"GO:0050660,GO:0003824,GO:0016491,GO:0004458"
21557	GO:0008299
21575	"GO:0006468,GO:0005524,GO:0004672,GO:0004674"
21639	"GO:0006508,GO:0005524,GO:0004222,GO:0017111,GO:0000166,GO:0030163,GO:0016020,GO:0030402,GO:0008319,GO:0008133,GO:0004249"
21687	"GO:0020037,GO:0006118,GO:0005506,GO:0004497,GO:0018664"
21698	"GO:0016564,GO:0006808"
21769	"GO:0008152,GO:0005524,GO:0003824,GO:0016874,GO:0009374"
21853	GO:0003676
21896	"GO:0005524,GO:0030983,GO:0006298"
21957	"GO:0006364,GO:0005634,GO:0003723,GO:0043852,GO:0043851,GO:0043834,GO:0043833,GO:0043827,GO:0043803,GO:0043791,GO:0043790,GO:0043782,GO:0043780,GO:0043777,GO:0043776,GO:0043770,GO:0030792,GO:0019702,GO:0018707,GO:0018423,GO:0016436,GO:0016435,GO:0016434,GO:0016433,GO:0016431,GO:0016427,GO:0016426,GO:0016424,GO:0016423,GO:0016300,GO:0016279,GO:0016278,GO:0016274,GO:0016273,GO:0016205,GO:0009383,GO:0009008,GO:0008650,GO:0008649,GO:0008425,GO:0008326,GO:0008276,GO:0008175,GO:0008174,GO:0008173,GO:0008172,GO:0008171,GO:0008170,GO:0008169,GO:0003880,GO:0000179"
22001	"GO:0008287,GO:0006470,GO:0004722,GO:0003824,GO:0017023,GO:0017020,GO:0017018,GO:0008597,GO:0008420,GO:0005963,GO:0004724,GO:0004723,GO:0004721"
22038	"GO:0005622,GO:0004527,GO:0003676,GO:0043765,GO:0042578,GO:0004518"
22103	"GO:0005525,GO:0003924"
22107	"GO:0008235,GO:0006508,GO:0004239"
22113	"GO:0032040,GO:0006364,GO:0051444,GO:0051443,GO:0051440,GO:0051438,GO:0004842"
22123	"GO:0016491,GO:0008270,GO:0046526"
22231	"GO:0006418,GO:0006412,GO:0005737,GO:0005524,GO:0004812,GO:0000166,GO:0006435,GO:0004829,GO:0043039,GO:0016876"
22415	"GO:0016020,GO:0006810,GO:0005215"
22418	"GO:0007040,GO:0006665,GO:0005764,GO:0004348"
22441	"GO:0006629,GO:0004806"
22463	"GO:0030983,GO:0006298,GO:0005524"
22472	"GO:0043565,GO:0006355,GO:0005634,GO:0003700"
22605	"GO:0005525,GO:0006886,GO:0005622,GO:0051444,GO:0051443,GO:0051440,GO:0051438,GO:0004842"
22614	"GO:0034061,GO:0003887"
22656	GO:0003677
22675	"GO:0008026,GO:0005524,GO:0003676,GO:0004386"
22738	GO:0005515
22810	"GO:0004037,GO:0004848,GO:0000256"
22836	GO:0005634
23018	GO:0008962
23046	"GO:0030170,GO:0008483,GO:0003992"
23075	"GO:0009435,GO:0004514,GO:0019357,GO:0004516,GO:0019363"
23125	"GO:0045039,GO:0042719,GO:0006626"
23258	"GO:0005622,GO:0004527,GO:0003676,GO:0043765,GO:0042578,GO:0004518"
23483	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
