"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi.p|Suilu4|10017",1087.55980074504,0.311818291076581,0.130841379324669,2.38317795705009,0.0171638948383617,0.153454574248507
"jgi.p|Suilu4|100491",2.93449106095008,-0.884640814057359,1.3648342908948,-0.648167195064668,0.51687681709621,NA
"jgi.p|Suilu4|100526",536.09984115944,0.639725549648712,0.151121569717425,4.23318491757931,2.30404903788581e-05,0.00110870839703065
"jgi.p|Suilu4|10094",1176.44723995407,0.120501328984783,0.113851358882873,1.05840922907869,0.28986891368008,0.673478697084597
"jgi.p|Suilu4|101036",105.024904299035,0.16356578360139,0.227520173774435,0.718906727644955,0.472198390968338,0.802139891914678
"jgi.p|Suilu4|101201",58.8791103312193,0.433648669870647,0.267696735378466,1.61992513378081,0.105248360057302,0.420178463989827
"jgi.p|Suilu4|1013261",596.53420236311,0.383859325775851,0.110560036447443,3.47195368335762,0.000516685471943259,0.0127429467078125
"jgi.p|Suilu4|1014298",644.849006771173,-0.0683656319187893,0.149421924968179,-0.457534139875047,0.647287169422247,0.891225548157668
"jgi.p|Suilu4|102388",121.468434062141,-0.0519741448287156,0.189095168124554,-0.274857075112999,0.783426046486917,0.941052224794638
"jgi.p|Suilu4|10256",1433.87662724334,-0.0942869695732244,0.113876004340695,-0.827979257957944,0.40768224677736,0.765414639636391
"jgi.p|Suilu4|1027956",485.343407299862,-0.000325950550776607,0.114665353234683,-0.00284262457299976,0.997731916795592,0.998561976626536
"jgi.p|Suilu4|102810",52.9969027899364,0.0697023249670233,0.273197452712679,0.25513533993426,0.798618569814298,0.946440784737274
"jgi.p|Suilu4|10291",3595.70430605028,-0.00543660307143495,0.0897873043903932,-0.0605497971940077,0.951717756147767,0.988347939959063
"jgi.p|Suilu4|102961",151.980590806914,0.414372567831023,0.196282323508816,2.11110486376738,0.0347632994792635,0.24003969608545
"jgi.p|Suilu4|103203",10.725897678578,0.0688411244579102,0.553389543953677,0.12439903357421,0.900999338501538,NA
"jgi.p|Suilu4|103567",405.564554050137,0.223559636776682,0.127685303778189,1.75086427460002,0.0799692918804864,0.368908190536867
"jgi.p|Suilu4|1037566",50.2105933345651,0.0627234803970717,0.286179199450927,0.219175539373285,0.826513309000574,0.956053375699703
"jgi.p|Suilu4|1037686",34.6897253892935,-0.177888646810017,0.320101634028604,-0.555725519333401,0.578398508383397,0.858234966803159
"jgi.p|Suilu4|103942",14.203978586562,-0.315529857065764,0.489677484498745,-0.644362599985079,0.519340330896567,NA
"jgi.p|Suilu4|103945",464.674049917301,0.00208079080370388,0.143420666940904,0.0145083051702811,0.988424453393881,0.996245723039988
"jgi.p|Suilu4|1040254",668.802433458197,0.0639025728338593,0.156571577406493,0.408136482319232,0.683173477337904,0.906412222667572
"jgi.p|Suilu4|104073",19.443376907441,0.38244393844347,0.437617760659592,0.87392234233601,0.382160546442666,0.746922007521852
"jgi.p|Suilu4|1042247",64.4339293631451,-0.254528411163083,0.250454789891592,-1.01626489664364,0.309503259995667,0.690372205676341
"jgi.p|Suilu4|1042476",136.750676607217,-0.148941880539697,0.195685562954386,-0.761128610057017,0.446580253455626,0.790020388859589
"jgi.p|Suilu4|1042538",85.6505340813602,-0.301912566106567,0.213833060663677,-1.41190779933429,0.157977110966417,0.51379338553121
"jgi.p|Suilu4|1045175",37.8302607225494,0.609973602896101,0.305416983836513,1.99718298319197,0.0458053089238405,0.277678656057347
"jgi.p|Suilu4|10467",1821.95872945279,-0.216351220219893,0.0909626030359842,-2.37846337944293,0.0173849636570449,0.154834944984383
"jgi.p|Suilu4|10512",60.8572054897652,0.0918149776377134,0.255554305399236,0.359277757008542,0.719387312367604,0.921057152594944
