"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi.p|Suilu4|10006",1.06409010266792,0.128501338302205,0.711079303168775,0.180713090269349,0.856592783410295,0.999854674781582
"jgi.p|Suilu4|100092",119.398796120772,-0.198017198571362,3.04275094631181,-0.0650783458999112,0.948111621346276,0.999854674781582
"jgi.p|Suilu4|10017",1260.73336392231,-0.21240894234193,0.151852071624582,-1.39878857146618,0.161876394428483,0.999854674781582
"jgi.p|Suilu4|100326",0.939293983140909,-0.31289196204139,3.04120810215473,-0.102884101163515,0.918054956166437,0.999854674781582
"jgi.p|Suilu4|100491",4.47972539048742,-0.677260120903545,1.96364797100078,-0.344898948745063,0.730170340953001,0.999854674781582
"jgi.p|Suilu4|100526",367.894494058675,-0.0994175219903612,0.446207080560432,-0.222805792022605,0.823686659935567,0.999854674781582
"jgi.p|Suilu4|100593",24.5442407589785,-0.418648738225705,3.04005978340226,-0.137710692569729,0.8904690684714,0.999854674781582
"jgi.p|Suilu4|100937",18.9521193404324,1.02383448897968,3.04166209408994,0.336603625685123,0.736415722652014,0.999854674781582
"jgi.p|Suilu4|10094",990.186932231501,0.0196300372494321,0.0954702259335651,0.205614232683308,0.837092259002345,0.999854674781582
"jgi.p|Suilu4|101036",213.69101117752,0.042051746923924,0.147680061853898,0.284748979625472,0.775836462956875,0.999854674781582
"jgi.p|Suilu4|101126",0.652228111844006,-0.226898342954993,3.04172657211867,-0.0745952463429185,0.940536756455889,0.999854674781582
"jgi.p|Suilu4|101193",13.0330826436958,-1.75864171439841,0.835311411110136,-2.105372548498,0.0352588914416322,0.77784996384452
"jgi.p|Suilu4|101201",49.813620376251,-0.352204595369442,0.601104819577323,-0.585928749693109,0.557923396411357,0.999854674781582
"jgi.p|Suilu4|1013261",657.333908763593,-0.0946334871121616,0.121901133485655,-0.77631343045139,0.437563945034536,0.999854674781582
"jgi.p|Suilu4|1014298",576.562597474116,0.0693648259860516,0.0757658970825414,0.915515141469039,0.359921257259934,0.999854674781582
"jgi.p|Suilu4|101701",6.70315876210988,-0.000924068200666909,0.975845957359226,-0.000946940645394039,0.99924445079196,0.999854674781582
"jgi.p|Suilu4|102126",18.1995427257744,0.0966835800882207,1.0126428342612,0.0954764866911428,0.923936365831033,0.999854674781582
"jgi.p|Suilu4|102163",2.1861208595261,-0.170776450074875,3.0440580030883,-0.0561015755618376,0.955260888800417,0.999854674781582
"jgi.p|Suilu4|102246",0.241444685493911,0.245164347192558,3.04476272814412,0.0805200171843909,0.935823676512375,0.999854674781582
"jgi.p|Suilu4|102284",15.7369750222342,0.174822615363467,3.04392009736815,0.0574333785944719,0.954199974601485,0.999854674781582
"jgi.p|Suilu4|102388",641.042675963313,-2.26605872007211,0.363335624644339,-6.23681953095104,4.46556652241065e-10,1.87971540486892e-07
"jgi.p|Suilu4|102475",0.285265292139738,-0.32850290384018,3.04022830117814,-0.10805205112816,0.913954403037778,0.999854674781582
"jgi.p|Suilu4|10256",1589.0010582333,0.100183716208849,0.120124578441797,0.833998483144647,0.404281838611468,0.999854674781582
"jgi.p|Suilu4|1027956",314.164649375342,0.171452066960563,0.118766977236195,1.44360049359169,0.148851386013033,0.999854674781582
"jgi.p|Suilu4|102810",33.173873609784,0.775000841692472,0.375529257700439,2.06375622085535,0.0390408358536128,0.788682617789099
"jgi.p|Suilu4|10291",3872.33514145482,0.0180482187866383,0.0438910487563592,0.411205001886025,0.680922220889439,0.999854674781582
"jgi.p|Suilu4|102961",206.473681147683,-0.119448207354482,0.100482257631516,-1.18874923961718,0.234538358058247,0.999854674781582
"jgi.p|Suilu4|103203",28.9814776417754,0.114812166144376,0.381290221461669,0.301114898001437,0.763326880975152,0.999854674781582
"jgi.p|Suilu4|103567",366.654303963298,0.028025563279393,0.146465375766175,0.191345996504556,0.848254526771098,0.999854674781582
"jgi.p|Suilu4|1037566",17.5290407921468,-0.432319623113682,0.361336039427576,-1.19644756110837,0.231521950615429,0.999854674781582
"jgi.p|Suilu4|1037686",78.2527284962708,0.250510233869411,0.153186229946121,1.63533128243656,0.101979619180377,0.949703596400718
"jgi.p|Suilu4|103942",40.2505142698538,-0.0284492843413241,0.255763063182743,-0.111232966900295,0.911431610028132,0.999854674781582
"jgi.p|Suilu4|103945",309.362061484524,-0.0428354020850575,0.222675276948866,-0.192367121631082,0.847454644545002,0.999854674781582
"jgi.p|Suilu4|1040254",585.715146857081,-0.142399359907101,0.132857491303182,-1.07182032800954,0.283800740798126,0.999854674781582
"jgi.p|Suilu4|104073",31.7487349881642,0.19784167759053,0.164818231285956,1.20036282422712,0.229998460306934,0.999854674781582
"jgi.p|Suilu4|1042247",80.5932865137752,-0.18331381372082,0.127225933745381,-1.44085257088927,0.149626337807156,0.999854674781582
"jgi.p|Suilu4|1042476",101.801190145767,-0.125483990651502,0.118829718347512,-1.0559983848866,0.290968952757878,0.999854674781582
"jgi.p|Suilu4|1042538",104.233488798907,-0.266294393124707,0.144477164740717,-1.84315904594755,0.0653057924169561,0.898680342264568
"jgi.p|Suilu4|1045175",30.1117846540758,0.75915010907902,0.450253870310799,1.68604904729635,0.0917863527643205,0.943863116558942
"jgi.p|Suilu4|10467",3426.64516522197,-0.0891012060379462,0.0721146356248801,-1.23554955614593,0.216626045089732,0.999854674781582
"jgi.p|Suilu4|10512",59.8015655843567,0.0729475720004822,0.12621926631374,0.577943242192187,0.563302439398303,0.999854674781582
"jgi.p|Suilu4|10513",633.495344671262,0.0155621493668757,0.0540117346356279,0.288125339277855,0.773250796759506,0.999854674781582
"jgi.p|Suilu4|105173",3.54562607339624,0.302101380739516,2.78975654905412,0.108289513951296,0.913766040355961,0.999854674781582
"jgi.p|Suilu4|1052116",66.7965358946457,0.459006854849548,0.155062973800482,2.96013189738091,0.00307507357989641,0.207755423115032
"jgi.p|Suilu4|105246",391.574855265455,0.00143667543448018,0.0524669006321017,0.0273825100619943,0.978154647967202,0.999854674781582
"jgi.p|Suilu4|10527",221.450127352973,0.148031396460093,0.163050548899094,0.907886526353886,0.363938176924691,0.999854674781582
"jgi.p|Suilu4|1053200",40.0429892000906,0.230805855369464,0.380565193761777,0.606481778031288,0.544194878908625,0.999854674781582
"jgi.p|Suilu4|1053227",44.9780142236979,0.575086490254324,0.224829873973804,2.55787400530826,0.0105314241761584,0.467430456036362
"jgi.p|Suilu4|105613",0.943037970373533,-0.188626875299385,1.02671419310197,-0.18371897122557,0.854233925345833,0.999854674781582
"jgi.p|Suilu4|1057307",1181.53602360469,-0.0538650534627603,0.0825952401143302,-0.652156872335489,0.514299978563649,0.999854674781582
"jgi.p|Suilu4|10576",72.8107875955917,-0.0375129644223931,0.110142287324373,-0.340586393597549,0.733414974009983,0.999854674781582
"jgi.p|Suilu4|105799",569.408568697014,-0.0923073847010395,0.0834047451414366,-1.10674020458316,0.268406267477956,0.999854674781582
"jgi.p|Suilu4|105932",544.139542498888,-0.016070736023925,0.165043888287879,-0.097372500070366,0.922430582696762,0.999854674781582
"jgi.p|Suilu4|106127",58.0405245259532,0.017678468435701,0.130396086340742,0.135575145940385,0.892157154675381,0.999854674781582
"jgi.p|Suilu4|106313",0.58867023291285,0.329356215555263,3.04126164548133,0.108295915954688,0.913760962160559,0.999854674781582
"jgi.p|Suilu4|1063432",464.516116148941,-0.00483948335134722,0.203594612322753,-0.0237701936025464,0.981035915388546,0.999854674781582
"jgi.p|Suilu4|106419",256.747753839594,0.0860275278884468,0.16808183649916,0.511819299932961,0.608777481633675,0.999854674781582
"jgi.p|Suilu4|106420",175.213134056107,0.217763656622573,0.147908477008072,1.47228651817359,0.140943522381303,0.996632533869355
"jgi.p|Suilu4|106445",1003.86476560135,-0.0408834634760279,0.149950875015051,-0.272645714617699,0.785125567544658,0.999854674781582
"jgi.p|Suilu4|106512",300.857868695845,-0.116073706767256,0.0571728049149524,-2.03022585545562,0.0423335868367804,0.799437011046523
"jgi.p|Suilu4|106594",37.5821289280426,0.416481941612979,0.324140540525052,1.28488075246111,0.198833957897717,0.999854674781582
"jgi.p|Suilu4|1066669",429.781519483667,-0.0494291068756473,0.0515675254246995,-0.958531681878457,0.33779472363837,0.999854674781582
"jgi.p|Suilu4|10667",1413.62117600277,-0.0201012171057882,0.0591679406317664,-0.339731565627554,0.734058688184204,0.999854674781582
"jgi.p|Suilu4|107023",991.853418336732,0.0511644839516472,0.088565719843797,0.577700763251129,0.56346616377399,0.999854674781582
"jgi.p|Suilu4|107028",83.3512463256877,0.171500096375665,0.160415806640781,1.06909724151875,0.285025854507571,0.999854674781582
"jgi.p|Suilu4|1070409",14.4097428398565,-0.249776757614948,1.17628668237438,-0.212343437494985,0.831839109787842,0.999854674781582
"jgi.p|Suilu4|10711",1841.61220321849,-0.137685136671472,0.0691494554771498,-1.99112394626115,0.0464672624321282,0.828696691162232
"jgi.p|Suilu4|10712",315.434849739224,-0.28855382059295,0.116001123669383,-2.48750884013299,0.0128641256436451,0.510224849616792
"jgi.p|Suilu4|1073756",2377.99883356722,-0.114873445419132,0.0903647907818059,-1.27121907133615,0.203650723665162,0.999854674781582
"jgi.p|Suilu4|1074661",255.655502958987,0.28082678576156,0.222310313447943,1.26321978232161,0.206510205378583,0.999854674781582
"jgi.p|Suilu4|1074667",157.554048770091,0.0447269565840831,0.398627563965073,0.112202367892457,0.910662951720813,0.999854674781582
"jgi.p|Suilu4|1075213",10.821261055679,0.0799498657002018,0.76527857381926,0.104471585165645,0.91679511661814,0.999854674781582
"jgi.p|Suilu4|10757",587.87683092867,-0.0640839794553058,0.0997815186871759,-0.642242975437314,0.520715433394341,0.999854674781582
"jgi.p|Suilu4|107633",3.81581527336934,0.928615531849481,0.558948640472786,1.66136110656609,0.0966409441886708,0.945529457552991
"jgi.p|Suilu4|107703",94.5619489201601,0.449604736946762,0.225089145485269,1.99745188057586,0.0457761167682572,0.825031287817467
"jgi.p|Suilu4|107730",357.621949687412,2.06024457556464,0.329737137964308,6.24814234842921,4.15363047597387e-10,1.80669080269943e-07
"jgi.p|Suilu4|1077578",255.302948644304,0.046594181203073,0.2210380033608,0.210797150239443,0.833045562361312,0.999854674781582
"jgi.p|Suilu4|108059",213.072063910975,0.279288634678776,0.153102023622697,1.82419949828392,0.0681219174322871,0.906979661371305
"jgi.p|Suilu4|10847",502.990839394345,-0.0496679062109916,0.115336177638752,-0.430635965469204,0.666733085890323,0.999854674781582
"jgi.p|Suilu4|10854",712.099962499298,-0.0017286705680859,0.10706592916152,-0.0161458512677551,0.98711803425162,0.999854674781582
"jgi.p|Suilu4|108553",24.7948258840299,0.19443072330621,0.636176493033841,0.305623872361263,0.759891042136525,0.999854674781582
"jgi.p|Suilu4|10863",152.194066988867,0.0969808832177078,0.0970587905748058,0.999197317866453,0.317699114919124,0.999854674781582
"jgi.p|Suilu4|108648",235.207081572682,-0.0709846070696617,0.139222071414609,-0.509866046011243,0.61014531098918,0.999854674781582
"jgi.p|Suilu4|108662",9.66051640958056,-11.3553255193964,3.0405313924955,-3.73465162945632,0.000187975209866896,0.0213294653352446
"jgi.p|Suilu4|108667",2.21295919751797,-0.558514486009382,3.04077966161308,-0.183674763765389,0.854268607661945,0.999854674781582
"jgi.p|Suilu4|108689",93.1427970267651,1.31149677915664,0.461604202124903,2.84117166420805,0.00449481100372539,0.265397234333088
