"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","proteinID"
"1739397",731.810520935706,-0.0337058021141695,0.0525051151472041,-0.641952732027565,0.520903874163077,0.999854674781582,"1739397"
"2764984",412.022343447811,-0.224784602580176,0.40389303700492,-0.5565448819001,0.577838421384057,0.999854674781582,"2764984"
"2846331",2820.60415831353,-0.00246802942086423,0.0561816993914246,-0.0439294191453551,0.964960664843518,0.999854674781582,"2846331"
"2854961",4206.23564666323,-0.0965049696031857,0.175687017744988,-0.549300516576949,0.582799232919649,0.999854674781582,"2854961"
"2856429",1753.32237695203,-0.131824349423404,0.0594620672888714,-2.2169486436284,0.0266266011591638,0.714918762399028,"2856429"
"2859797",1480.88398652092,-0.0599217069948712,0.0612794618659629,-0.977843231161828,0.32815186576863,0.999854674781582,"2859797"
"2893674",417.773199226336,-0.0535050157424566,0.0851621538803366,-0.628272223100859,0.52982562472685,0.999854674781582,"2893674"
"72605",2305.41138225878,-0.0385608599876756,0.213782824885286,-0.180373984712603,0.85685897653924,0.999854674781582,"72605"
"810602",893.405362176118,-0.0252286363739037,0.0908456146972494,-0.277708907116543,0.781235822567767,0.999854674781582,"810602"
