"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi.p|Suilu4|10006",1.06409010266792,0.705931482053785,0.864156606633865,0.816902256644878,0.413984288087698,NA
"jgi.p|Suilu4|100092",119.398796120772,-0.26615415044125,3.69225465412733,-0.0720844512021222,0.942534700175621,0.998996739566988
"jgi.p|Suilu4|10017",1260.73336392231,-0.34162459016205,0.184787130565847,-1.84874665847098,0.0644944029331364,0.42364308500708
"jgi.p|Suilu4|100326",0.939293983140909,0.119136481446347,3.70527485938088,0.0321532102118476,0.974349869708962,NA
"jgi.p|Suilu4|100491",4.47972539048742,-0.163462606779391,2.3929861658833,-0.0683090479626963,0.945539621721964,0.998996739566988
"jgi.p|Suilu4|100526",367.894494058675,0.150429003816371,0.615259143501636,0.24449698213379,0.806845938973348,0.994497702335016
"jgi.p|Suilu4|100593",24.5442407589785,0.12481826896374,3.68895440147277,0.0338356768286179,0.973008186228987,0.998996739566988
"jgi.p|Suilu4|100937",18.9521193404324,1.77026522155981,3.68976172449026,0.479777653340033,0.631385504408767,0.945605135083255
"jgi.p|Suilu4|10094",990.186932231501,0.117500448554513,0.116545214653763,1.0081962515886,0.313360257050764,0.803169459677558
"jgi.p|Suilu4|101036",213.69101117752,-0.273063783454952,0.179063740363869,-1.52495297428764,0.127270827386697,0.575481408602834
"jgi.p|Suilu4|101126",0.652228111844006,0.11915701791268,3.70527485942644,0.0321587527061691,0.974345449724053,NA
"jgi.p|Suilu4|101193",13.0330826436958,-2.08317414544096,1.0059276792624,-2.07089852321038,0.0383682802187949,0.331610413327757
"jgi.p|Suilu4|101201",49.813620376251,0.0414892224720392,0.77488357852224,0.0535425238345639,0.957299650100479,0.998996739566988
"jgi.p|Suilu4|1013261",657.333908763593,-0.060313905354794,0.148127415848577,-0.407175842562796,0.683878842985454,0.96187236520071
"jgi.p|Suilu4|1014298",576.562597474116,0.0633795567568546,0.0925605140304304,0.684736438866554,0.493510250637793,0.896824243505905
"jgi.p|Suilu4|101701",6.70315876210988,-0.281109268122977,1.19412239719805,-0.23541076591695,0.81388993085688,0.995208244837856
"jgi.p|Suilu4|102126",18.1995427257744,0.225033629806593,1.18319290304855,0.190191835352278,0.849158808797853,0.998996739566988
"jgi.p|Suilu4|102163",2.1861208595261,-0.220406612607557,3.69526679526287,-0.059645656137767,0.952437854734695,NA
"jgi.p|Suilu4|102246",0.241444685493911,0.0217939095795582,3.70090310940334,0.00588880847060917,0.995301437795966,NA
"jgi.p|Suilu4|102284",15.7369750222342,0.35524549030762,3.6949305478583,0.0961440237391015,0.923406187344047,0.998996739566988
"jgi.p|Suilu4|102388",641.042675963313,-3.80879752304613,0.461367399379965,-8.25545439093617,1.51325405558797e-16,8.45358742871643e-14
"jgi.p|Suilu4|102475",0.285265292139738,0.119139920090461,3.70527485934931,0.0321541382523463,0.974349129622448,NA
"jgi.p|Suilu4|10256",1589.0010582333,0.00711069276406146,0.145995700089181,0.04870480952328,0.96115454298133,0.998996739566988
"jgi.p|Suilu4|1027956",314.164649375342,0.281831263063876,0.149011714828559,1.8913362844534,0.0585794680290084,0.404301534083676
"jgi.p|Suilu4|102810",33.173873609784,1.48904603247851,0.52277360355116,2.84835734314728,0.00439455502987751,0.103995927933618
"jgi.p|Suilu4|10291",3872.33514145482,-0.0542196852123926,0.0533630367699832,-1.01605321762519,0.309604045052218,0.799063705765788
"jgi.p|Suilu4|102961",206.473681147683,-0.246040457879276,0.121782443392842,-2.02032781593654,0.0433493953778222,0.350920371628115
"jgi.p|Suilu4|103203",28.9814776417754,0.0567293911875122,0.47266651497904,0.120019907037476,0.904467378410429,0.998996739566988
"jgi.p|Suilu4|103567",366.654303963298,0.15131546906098,0.177827644919261,0.850910830707346,0.394818887950646,0.851659049102984
"jgi.p|Suilu4|1037566",17.5290407921468,-0.250033437606392,0.457101798219146,-0.546997274087554,0.584380604872945,0.938842932402264
"jgi.p|Suilu4|1037686",78.2527284962708,-0.0230937973003135,0.184506827919504,-0.125165000996,0.900392924462259,0.998996739566988
"jgi.p|Suilu4|103942",40.2505142698538,0.101234870774153,0.326135108713944,0.31040776680976,0.756250888587119,0.981271362744963
"jgi.p|Suilu4|103945",309.362061484524,-0.318632395152835,0.325012726201566,-0.980368980860235,0.326904015629555,0.812727402411124
"jgi.p|Suilu4|1040254",585.715146857081,-0.302204825791082,0.161729284018886,-1.86858445348581,0.0616806503574513,0.415372708434562
"jgi.p|Suilu4|104073",31.7487349881642,0.485332450398538,0.198080297965053,2.45018033284746,0.01427846839766,0.204524914460654
"jgi.p|Suilu4|1042247",80.5932865137752,-0.538909571009548,0.161972039307754,-3.32717655042669,0.000877307710406339,0.038263306354637
"jgi.p|Suilu4|1042476",101.801190145767,-0.347301297911017,0.149688262039566,-2.32016387376598,0.0203320140745646,0.247201784070679
"jgi.p|Suilu4|1042538",104.233488798907,-0.762987211043438,0.181570425900867,-4.2021557599915,2.64385110384028e-05,0.0023044631252622
"jgi.p|Suilu4|1045175",30.1117846540758,1.52984691365465,0.623225706252552,2.45472370331705,0.0140992909003553,0.202833883162333
"jgi.p|Suilu4|10467",3426.64516522197,-0.27862087964857,0.0875405515818283,-3.18276358343629,0.00145876671690013,0.0546592772887274
"jgi.p|Suilu4|10512",59.8015655843567,0.143315693215756,0.155310113271444,0.922771158921735,0.356126473762674,0.831932021011836
"jgi.p|Suilu4|10513",633.495344671262,-0.0168355751064758,0.0657178642142012,-0.256179583858687,0.797812172456141,0.992118951683291
"jgi.p|Suilu4|105173",3.54562607339624,0.407223362240543,3.38401560398836,0.120337318114194,0.904215943311691,0.998996739566988
"jgi.p|Suilu4|1052116",66.7965358946457,0.764177987401072,0.185861200316338,4.11155198664613,3.93008356284647e-05,0.00324165952935457
"jgi.p|Suilu4|105246",391.574855265455,0.0584470522041097,0.0641766553706304,0.91072138095338,0.362442195597705,0.835652013024486
"jgi.p|Suilu4|10527",221.450127352973,0.0690473926853892,0.198183623249966,0.3484011017313,0.727538975234467,0.974383733525353
"jgi.p|Suilu4|1053200",40.0429892000906,0.614634415289347,0.468646714052005,1.31150906825977,0.189685832041759,0.666205406339597
"jgi.p|Suilu4|1053227",44.9780142236979,0.246880229656295,0.26869399573228,0.918815580465298,0.358192041626891,0.833489626064193
"jgi.p|Suilu4|105613",0.943037970373533,-0.80491004078149,1.21368485492949,-0.663195258235511,0.507205507988309,NA
"jgi.p|Suilu4|1057307",1181.53602360469,-0.0385629182833664,0.100522706601842,-0.38362395509414,0.701257182465583,0.96736572776746
"jgi.p|Suilu4|10576",72.8107875955917,0.159824889537712,0.135701388042776,1.17776901064072,0.238888706173903,0.729064365253853
"jgi.p|Suilu4|105799",569.408568697014,-0.0865256826156419,0.10173650363684,-0.850488069891854,0.395053790428237,0.851659049102984
"jgi.p|Suilu4|105932",544.139542498888,-0.289217929555316,0.200053968975358,-1.44569953316418,0.14826149535816,0.60859511621636
"jgi.p|Suilu4|106127",58.0405245259532,0.22701514591673,0.156972425932959,1.44621034278776,0.148118213635304,0.60859511621636
"jgi.p|Suilu4|106313",0.58867023291285,0.0105137164613278,3.69348340511861,0.00284655846747744,0.997728778014623,NA
"jgi.p|Suilu4|1063432",464.516116148941,-0.15852780559273,0.247206349663761,-0.641277239878151,0.521342573929839,0.913951497514289
"jgi.p|Suilu4|106419",256.747753839594,-0.157193553890466,0.203382979010286,-0.77289434275872,0.439584913067603,0.87445627408639
"jgi.p|Suilu4|106420",175.213134056107,0.413242403180737,0.180666634778612,2.28731997851802,0.0221771532035007,0.25883875866194
"jgi.p|Suilu4|106445",1003.86476560135,-0.0270821484401142,0.182646724107389,-0.148276124701755,0.882124856793213,0.998996739566988
"jgi.p|Suilu4|106512",300.857868695845,-0.164880191666224,0.0695227536104629,-2.37160042005889,0.0177112330886205,0.229419232398677
"jgi.p|Suilu4|106594",37.5821289280426,0.314731162044092,0.400641791800068,0.785567478195466,0.432120923649028,0.869409858585266
"jgi.p|Suilu4|1066669",429.781519483667,-0.0701064429693177,0.0626645038482991,-1.1187584463931,0.263243203504322,0.752420635703641
"jgi.p|Suilu4|10667",1413.62117600277,-0.0190380393919941,0.0718277197264178,-0.265051423942003,0.790969847394829,0.99033737736143
"jgi.p|Suilu4|107023",991.853418336732,0.0274187965156847,0.108002230013911,0.253872503485837,0.799594058031804,0.992827942332883
"jgi.p|Suilu4|107028",83.3512463256877,0.275461701204376,0.196958982839363,1.39857394282463,0.161940784748132,0.631425204490654
"jgi.p|Suilu4|1070409",14.4097428398565,-0.352373221966078,1.39855704784669,-0.251954843392777,0.80107596771442,0.99321749786715
"jgi.p|Suilu4|10711",1841.61220321849,-0.114880718467926,0.0841400846741341,-1.36535064010034,0.172142869823783,0.645937195224306
"jgi.p|Suilu4|10712",315.434849739224,-0.325552973147712,0.139889123758557,-2.32722147655742,0.0199534805357608,0.245033520152017
"jgi.p|Suilu4|1073756",2377.99883356722,-0.0743178978464328,0.110010288124515,-0.675554069654976,0.499323811285611,0.900446582644698
"jgi.p|Suilu4|1074661",255.655502958987,0.602319637928691,0.270578774420878,2.22604171083944,0.0260113876665169,0.280627224765986
"jgi.p|Suilu4|1074667",157.554048770091,0.243726937587263,0.484207312333083,0.503352451273195,0.614716495475933,0.945605135083255
"jgi.p|Suilu4|1075213",10.821261055679,-0.128432457094154,1.01647400093746,-0.126350951402303,0.899454126007369,0.998996739566988
"jgi.p|Suilu4|10757",587.87683092867,-0.11270832855929,0.121155338365204,-0.93027950794498,0.352226384960762,0.829084437483546
"jgi.p|Suilu4|107633",3.81581527336934,0.195599787143063,0.703132890636676,0.27818324209802,0.780871698224176,0.988144430752194
"jgi.p|Suilu4|107703",94.5619489201601,0.376692721565504,0.26939832394885,1.39827418390704,0.162030747189398,0.631575605124548
"jgi.p|Suilu4|107730",357.621949687412,3.30419345630161,0.425129184240709,7.77221037460174,7.71282105085482e-15,3.15968569050019e-12
"jgi.p|Suilu4|1077578",255.302948644304,0.0308221185378667,0.252397982742721,0.122117135021974,0.902806251657801,0.998996739566988
"jgi.p|Suilu4|108059",213.072063910975,0.514883740165249,0.189750724631392,2.71347443423712,0.00665817056048427,0.135413745536763
"jgi.p|Suilu4|10847",502.990839394345,-0.207514104460626,0.140280696845857,-1.47927768485957,0.139066114402505,0.595470030125122
"jgi.p|Suilu4|10854",712.099962499298,0.133717306800024,0.129908668557442,1.02931781446823,0.303330354753192,0.793514274141492
"jgi.p|Suilu4|108553",24.7948258840299,-0.38334702001565,0.827960142185822,-0.463001780500702,0.643363090863606,0.948605795303937
"jgi.p|Suilu4|10863",152.194066988867,0.213730563581492,0.118720102479277,1.80028958127625,0.071814925166205,0.44579556598893
"jgi.p|Suilu4|108648",235.207081572682,0.0785662678235264,0.16927067217092,0.464145777977383,0.642543305752422,0.948443358967824
"jgi.p|Suilu4|108662",9.66051640958056,-11.7493200358652,3.70527485932425,-3.17097124557395,0.00151930181378766,0.0557379680341802
"jgi.p|Suilu4|108667",2.21295919751797,0.119083979297669,3.70527485934294,0.0321390406429351,0.974361169549245,NA
"jgi.p|Suilu4|108689",93.1427970267651,3.58536937253861,0.531944766922404,6.7401158832372,1.58260357673328e-11,3.35348240656069e-09
"jgi.p|Suilu4|1087133",21.1615083363225,0.54283431439608,0.461584652177736,1.17602331844226,0.239585558025397,0.729272278895498
"jgi.p|Suilu4|10873",418.160049054717,-0.160357337082346,0.0739102584725547,-2.16962219313429,0.0300354787127027,0.295116817091239
"jgi.p|Suilu4|1087995",187.105466750599,0.206478674780906,0.31920045555719,0.646862093039563,0.517721201204662,0.913186328081148
"jgi.p|Suilu4|1088222",11.6178609368293,0.12596329526847,0.306496285694652,0.410978211311708,0.681088511596258,0.96013351689574
"jgi.p|Suilu4|1088397",17.521103331977,0.556852744760473,0.238611973141444,2.33371669254159,0.0196105614417412,0.242957459797379
"jgi.p|Suilu4|1090955",36.2576446879988,1.49650490386465,0.495503389083867,3.0201708743739,0.00252632113204415,0.0760992321392711
"jgi.p|Suilu4|1091014",2.18624235489898,0.49734368245844,3.03463334783008,0.163889216736535,0.869818356116635,NA
"jgi.p|Suilu4|109194",7.64707354132576,0.0922861838623084,0.380347665571116,0.242636388273173,0.80828708963237,0.994519338394715
"jgi.p|Suilu4|1092383",9.12511249079336,0.65881039550983,0.391291395643692,1.6836822962234,0.0922430845648745,0.500046627388291
"jgi.p|Suilu4|109249",48.3322717852078,0.28120956288564,0.307936291060848,0.913206955623403,0.361133706422524,0.834116378863525
"jgi.p|Suilu4|109328",160.387010785521,0.190731004043048,1.23169489587281,0.154852475789381,0.876937620424651,0.998996739566988
"jgi.p|Suilu4|1093361",296.781982132013,-0.0295475256349938,0.109500945572167,-0.269838086608305,0.787284820398475,0.989739162522957
"jgi.p|Suilu4|109460",1.33060399487749,-0.968054971471037,1.2496000342993,-0.774691857314059,0.438521763682996,NA
"jgi.p|Suilu4|1097602",4082.33962070531,-0.031030671966381,0.0877092802964815,-0.353790064876701,0.723496219660465,0.973160615040726
"jgi.p|Suilu4|10982",347.425199435017,0.135365936427437,0.0838499930474176,1.61438220216532,0.106444549757805,0.530443560274462
"jgi.p|Suilu4|110062",9.5832578644431,1.07087859812211,0.484414554578072,2.21066561275155,0.0270590014810298,0.285337536182804
"jgi.p|Suilu4|11009",330.990849910945,-0.120191164509026,0.0627937040258823,-1.91406393958678,0.05561198641103,0.395245459752831
"jgi.p|Suilu4|11019",34.5621963236195,0.117108818457458,0.189681895054015,0.617395869142436,0.536973646026469,0.919345353811729
"jgi.p|Suilu4|110405",31.2751528838194,-0.506676651781653,0.489828863370301,-1.03439525448833,0.300951421998925,0.79227076524749
