"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","proteinID"
"2623337",1075.2079166716,-0.234229803063738,0.175474616045362,-1.33483582037408,0.181930086947068,0.748158924957842,"2623337"
"2722447",26.1500355492002,-1.02494588878718,1.57117938272851,-0.65234173771251,0.514180740511039,0.912552536935822,"2722447"
"2848300",735.523158585232,0.41440199311488,0.265074745369555,1.56334015349949,0.117972608528459,0.667165690749341,"2848300"
"2849043",4907.45036929028,0.0496641496081322,0.349357787349753,0.142158415831767,0.886954877485632,0.987423898089596,"2849043"
"2852980",15918.2182572472,0.098832052675745,0.157641535943597,0.626941700892247,0.530697450964657,0.915153879422927,"2852980"
"2854576",244.275439068265,0.127151226463119,0.110172565000192,1.15410970474271,0.248455195133408,0.802385160008761,"2854576"
"2861746",2656.81538677442,0.40008142683016,0.432582168789028,0.924868049809241,0.355034547873784,0.84890556291222,"2861746"
"2861857",1696.4123327421,0.0967248446035598,0.179216451812367,0.539709628359493,0.589397298866638,0.930188901069898,"2861857"
"2898571",1417.28603616239,-0.121838634052624,0.086514692775713,-1.40829991003363,0.159042282300213,0.728726083990666,"2898571"
"2921647",11193.7577584306,0.244311069438236,0.514700953269408,0.474666051979036,0.635025018536287,0.93903001485023,"2921647"
"2921934",456.706713471121,-0.0686805109254561,0.244888140178608,-0.280456664317693,0.779127168687767,0.971907156467892,"2921934"
"83946",2494.37953272684,0.119799838511095,0.697861730106374,0.171667012737371,0.863699320791391,0.985695940150353,"83946"
