"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","proteinID"
"2623337",1075.2079166716,0.196932359090421,0.14325203626695,1.37472642080589,0.169216276917661,0.99993535276966,"2623337"
"2722447",26.1500355492002,2.35378608773749,1.33956723567018,1.75712426003007,0.0788966314452235,0.99993535276966,"2722447"
"2848300",735.523158585232,-0.13530932319875,0.216013129535914,-0.626393976558049,0.531056559428414,0.99993535276966,"2848300"
"2849043",4907.45036929028,-0.0253330020111622,0.284759072059094,-0.0889629321657048,0.929111369118878,0.99993535276966,"2849043"
"2852980",15918.2182572472,-0.120828134710319,0.128487063612427,-0.940391439521018,0.347016811616476,0.99993535276966,"2852980"
"2854576",244.275439068265,-0.0706749456564147,0.0901191885188891,-0.78423859355548,0.432900123440002,0.99993535276966,"2854576"
"2861746",2656.81538677442,-0.52021769414841,0.35274964076441,-1.47475045763646,0.140279645088605,0.99993535276966,"2861746"
"2861857",1696.4123327421,-0.0465898867473399,0.146049481679015,-0.319000699021543,0.74972598271172,0.99993535276966,"2861857"
"2898571",1417.28603616239,-0.0350457686039011,0.0705160536887557,-0.496989930244627,0.619196152379686,0.99993535276966,"2898571"
"2921647",11193.7577584306,-0.360564690051351,0.372333513697141,-0.968391715457117,0.332848775376295,0.99993535276966,"2921647"
"2921934",456.706713471121,0.0940410976263746,0.19992884345927,0.470372838652132,0.638088666091375,0.99993535276966,"2921934"
"83946",2494.37953272684,0.00344694826264477,0.568447241438378,0.00606379627056108,0.99516182022556,0.99993535276966,"83946"
