"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","proteinID"
"2623337",1075.2079166716,0.762802894272228,0.0877373184242511,8.6941669516695,3.49383638510336e-18,7.87410552490738e-17,"2623337"
"2722447",26.1500355492002,3.69204550769413,0.785598929571613,4.69965699890579,2.60598814587404e-06,1.23208475780835e-05,"2722447"
"2848300",735.523158585232,0.016214874331789,0.13253740858833,0.122341869397443,0.902628274045105,0.936279518920078,"2848300"
"2849043",4907.45036929028,0.442664722396442,0.174678976106388,2.53416142150295,0.0112716794790157,0.0240490754613597,"2849043"
"2852980",15918.2182572472,-0.207053979393954,0.0788207755476703,-2.6268959922721,0.0086167667253125,0.0189708434281429,"2852980"
"2854576",244.275439068265,0.180554308896384,0.05508628503766,3.27766355587325,0.001046700718797,0.00290018674444578,"2854576"
"2861746",2656.81538677442,1.31308802118405,0.216291240773871,6.07092555614335,1.27175135503935e-09,1.0294716769174e-08,"2861746"
"2861857",1696.4123327421,0.0812312366854128,0.0896082369907889,0.906515287135522,0.364663177203787,0.478240180837409,"2861857"
"2898571",1417.28603616239,0.105221259056671,0.0432573476320156,2.43244823866165,0.0149971348993258,0.031077912228252,"2898571"
"2921647",11193.7577584306,-4.17759278664105,0.257350640527725,-16.233077089198,2.94327453847689e-59,5.26120403460067e-57,"2921647"
"2921934",456.706713471121,0.616612409516218,0.122444098391899,5.03586875655424,4.75686413365018e-07,2.54290536993041e-06,"2921934"
"83946",2494.37953272684,-2.60081678005615,0.348931521609982,-7.45365958356498,9.0786065318744e-14,1.2697399424912e-12,"83946"
