"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","proteinID"
"2623337",1075.2079166716,-0.0372974439733171,0.101341989222094,-0.368035443744634,0.712846805850154,0.969425798773338,"2623337"
"2722447",26.1500355492002,1.3288401989503,0.821093339291444,1.61837897759226,0.105580949681665,0.528511174662234,"2722447"
"2848300",735.523158585232,0.27909266991613,0.153632576004083,1.81662429398249,0.0692746609463079,0.438650749801984,"2848300"
"2849043",4907.45036929028,0.02433114759697,0.202393662886841,0.120216943801119,0.904311295903735,0.998996739566505,"2849043"
"2852980",15918.2182572472,-0.0219960820345743,0.0913341712634776,-0.240830805494701,0.809686252858287,0.994738435154969,"2852980"
"2854576",244.275439068265,0.0564762808067037,0.0633760720569897,0.891129395900688,0.372859756329634,0.843446789120412,"2854576"
"2861746",2656.81538677442,-0.120136267318251,0.250390026180464,-0.479796536430987,0.63137207593068,0.945605135188413,"2861746"
"2861857",1696.4123327421,0.0501349578562198,0.103865728966156,0.482690088013113,0.629315802181373,0.945605135188413,"2861857"
"2898571",1417.28603616239,-0.156884402656525,0.0501226342339344,-3.13001112280547,0.00174799684360144,0.0610309125223345,"2898571"
"2921647",11193.7577584306,-0.116253620613114,0.355366011649928,-0.327137702543248,0.743563736740648,0.979454132633139,"2921647"
"2921934",456.706713471121,0.0253605867009184,0.141416665120227,0.179332376982287,0.857676725759816,0.998996739566505,"2921934"
"83946",2494.37953272684,0.123246786773739,0.404820563095392,0.304447940666239,0.760786648676715,0.982502946666402,"83946"
