"","HZHAH","HZHAN","HZHAO","HZHAP","HZHAS"
"jgi.p|Suilu4|10017",632.489848741283,323.797345654057,648.774628045292,765.289508710013,756.797822595687
"jgi.p|Suilu4|100526",1.00395214085918,2.73631559707654,2.2256419486974,8.07693412886558,13.4456465943396
"jgi.p|Suilu4|100593",272.071030172838,228.026299756379,265.964212869339,303.894646598567,229.536395431941
"jgi.p|Suilu4|100937",57.2252720289732,63.847363931786,67.8820794352707,62.5962394987082,56.6637963618598
"jgi.p|Suilu4|10094",754.972009926103,994.19466693781,1233.00563957836,1060.09760441361,1067.96850092183
"jgi.p|Suilu4|101036",35.1383249300713,28.2752611697909,35.6102711791584,57.5481556681672,47.0597630801887
"jgi.p|Suilu4|101201",325.280493638374,304.643136474522,331.620650355913,281.683077744187,278.516965168464
"jgi.p|Suilu4|1013261",818.220994800231,403.150497969277,640.984881224851,701.683652445197,747.193789314016
"jgi.p|Suilu4|1014298",236.932705242766,304.643136474522,254.836003125852,357.404335202302,374.557297985175
"jgi.p|Suilu4|101701",11.043473549451,40.1326287571226,15.5794936408818,12.1154011932984,9.60403328167116
"jgi.p|Suilu4|102126",85.3359319730302,54.7263119415308,83.4615730761525,65.6250897970328,64.3470229871968
"jgi.p|Suilu4|102284",84.331979832171,234.411036149557,124.635949127054,190.817568794449,206.48671555593
"jgi.p|Suilu4|10256",1342.28401232872,2947.92400325046,1342.06209506453,1809.23324486589,1968.82682274259
"jgi.p|Suilu4|1027956",267.051269468542,193.366302193409,205.87188025451,441.202526789282,426.419077706199
"jgi.p|Suilu4|102810",27.1067078031978,30.099471567842,31.1589872817636,24.2308023865967,36.4953264703504
"jgi.p|Suilu4|10291",3774.86004963051,4478.43652721527,3938.27342822005,4135.39027397917,4120.13027783693
"jgi.p|Suilu4|102961",142.561204002003,100.331571892807,137.989800819239,169.615616706177,148.862515865903
"jgi.p|Suilu4|103567",640.521465868156,193.366302193409,361.666816663328,650.193197373679,567.598366946765
"jgi.p|Suilu4|1037566",19.0750906763244,10.9452623883062,13.3538516921844,27.2596526849213,10.5644366098383
"jgi.p|Suilu4|1037686",55.2173677472548,66.5836795288625,45.6256599482967,62.5962394987082,58.5846030181941
"jgi.p|Suilu4|103942",7.02766498601425,1.82421039805103,12.2410307178357,2.01923353221639,2.88120998450135
"jgi.p|Suilu4|103945",250.988035214795,265.422612916425,287.107811381965,249.375341228725,223.773975462938
"jgi.p|Suilu4|1040254",604.379188797226,303.731031275496,781.200323992788,833.943448805371,802.897182347709
"jgi.p|Suilu4|104073",133.525634734271,83.0015731113218,122.410307178357,182.740634665584,196.882682274259
"jgi.p|Suilu4|1042247",57.2252720289732,53.8142067425053,50.0769438456915,48.4616047731935,55.7033930336927
"jgi.p|Suilu4|1042476",44.1738941978039,24.6268403736889,63.4307955378759,47.4519880070853,64.3470229871968
"jgi.p|Suilu4|1042538",83.3280276913119,91.2105199025514,94.5897828196395,95.9135927802787,76.8322662533693
"jgi.p|Suilu4|1045175",11.043473549451,11.8573675873317,15.5794936408818,108.028993973577,81.6342828942048
"jgi.p|Suilu4|10467",2761.8723395036,2947.92400325046,2851.04733628137,2856.20583132009,2544.10841631469
"jgi.p|Suilu4|10512",42.1659899160855,24.6268403736889,30.0461663074149,21.2019520882721,27.8516965168464
"jgi.p|Suilu4|10513",530.086730373647,640.297849715911,566.425875943488,596.683508769944,576.241996900269
"jgi.p|Suilu4|1052116",64.2529370149875,134.991569455776,91.2513198965934,151.44251491623,157.506145819407
"jgi.p|Suilu4|105246",391.54133493508,363.92997441118,488.528407739079,280.673460978079,328.457938233154
"jgi.p|Suilu4|10527",62.2450327332691,101.243677091832,95.7026037939882,118.125161634659,101.802752785714
"jgi.p|Suilu4|1053200",19.0750906763244,15.5057883834337,26.7077033843688,40.3846706443279,69.1490396280323
"jgi.p|Suilu4|1053227",35.1383249300713,62.023153533735,41.1743760509019,55.5289221359508,59.5450063463612
