"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","proteinID"
"2623337",1075.2079166716,0.0563944772521779,0.0835503190612788,0.674976204588951,0.499690883107439,0.999854674781582,"2623337"
"2722447",26.1500355492002,1.73881855446518,0.727892573117083,2.38883953303572,0.0169016827629188,0.581308728992903,"2722447"
"2848300",735.523158585232,0.113331872670178,0.1263445327139,0.897006544215181,0.369715424996759,0.999854674781582,"2848300"
"2849043",4907.45036929028,0.00446548775371715,0.166495649355694,0.0268204470867421,0.978602944666469,0.999854674781582,"2849043"
"2852980",15918.2182572472,-0.0615289031048723,0.0751300458233044,-0.818965334449281,0.412806191954192,0.999854674781582,"2852980"
"2854576",244.275439068265,0.00561579022145638,0.0523964176490311,0.10717889644809,0.914647057174372,0.999854674781582,"2854576"
"2861746",2656.81538677442,-0.280168838050314,0.206105465451908,-1.35934696072234,0.174036669680433,0.999854674781582,"2861746"
"2861857",1696.4123327421,0.0114450200147959,0.0854200529596805,0.133985166459661,0.893414304116444,0.999854674781582,"2861857"
"2898571",1417.28603616239,-0.108148949035475,0.041231329263137,-2.62297992735748,0.00871644077359222,0.424406103188824,"2898571"
"2921647",11193.7577584306,-0.213978048388409,0.260084221742236,-0.822725988354949,0.410663833060853,0.999854674781582,"2921647"
"2921934",456.706713471121,0.0528327910711009,0.116597481083373,0.453121204508037,0.650461467226181,0.999854674781582,"2921934"
"83946",2494.37953272684,0.0753268513693011,0.332713211128125,0.22640174435482,0.820888971352689,0.999854674781582,"83946"
