"","gene","p.val","rank"
"1","2840221",2.16902850282454e-15,14.6637347409604
"2","2849801",8.93158986758606e-15,14.0490712276442
"3","2853905",1.15781915802522e-14,13.9363592685922
"4","2115022",1.40363465311892e-14,13.8527459184044
"5","2312892",2.06987373538495e-14,13.6840561461847
"6","806736",2.86141748383102e-14,13.5434187735486
"7","2919054",5.11235532189358e-14,13.2913789692129
"8","2869862",9.82549737323331e-14,13.0076454561196
"9","2767987",1.84962428415018e-13,12.7329164812682
"10","2856506",5.24186582650247e-12,11.2805140996724
"11","2864827",9.46792726248648e-12,11.0237450872049
"12","71896",1.63918130575163e-11,10.7853730075444
"13","2849218",1.80925322254252e-11,10.7425006451597
"14","2917445",2.29100910615385e-11,10.6399731846017
"15","1943079",2.62867539206344e-11,10.5802630404207
"16","2788609",2.68340886983545e-11,10.571313149026
"17","2922521",3.21439192569869e-11,10.4929011715083
"18","2906778",4.61133767346431e-11,10.3361730746245
"19","2557637",4.86655068065089e-11,10.3127787494873
"20","2840281",5.06406797718318e-11,10.2955004732282
"21","2925627",6.40231665017104e-11,10.1936628500261
"22","2863142",6.65793684784033e-11,10.1766603285492
"23","2891014",6.73053767778694e-11,10.1719502402086
"24","2382791",7.26227496332246e-11,10.1389273119099
"25","2983550",7.94921855847402e-11,10.0996755622144
"26","2985477",1.13638572050677e-10,9.94447423213326
"27","2919916",1.15925552441027e-10,9.93582082580509
"28","620990",1.40902570947324e-10,9.85108108256098
"29","2867402",1.9931020368388e-10,9.70047046702872
"30","2923131",2.06518063087662e-10,9.68504195681039
"31","1302398",2.22634195209856e-10,9.65240812998156
"32","2730355",2.38056615209061e-10,9.62331974567918
"33","2859516",2.59004596529878e-10,9.5866925284676
"34","2859615",2.69215613671338e-10,9.56989975598349
"35","2867550",3.25295746971076e-10,9.48772161479705
"36","2918202",3.48295325903345e-10,9.45805235370141
"37","2867162",3.69620804711727e-10,9.43224359178848
"38","152353",3.7169339837523e-10,9.42981515231474
"39","11126",3.90266787848869e-10,9.40863840610459
"40","2982479",4.07879463471176e-10,9.38946816064435
"41","2863050",4.210985837309e-10,9.37561621922777
"42","2824568",5.03697925551618e-10,9.29782983775325
"43","2629309",5.242559156399e-10,9.28045666030893
"44","2924701",5.86239480704354e-10,9.23192493704964
"45","2896329",6.00090653138467e-10,9.22178313764317
"46","2238529",6.57548671970001e-10,9.18207209502732
"47","2921250",8.19597041628943e-10,9.08639961787278
