"","gene","p.GS.EC50","rank"
"1","2906971",0.28924331929792,0.538736663233794
"2","2784240",0.0937517293354061,1.028020712572
"3","18370",0.0587365736855544,1.23109139102495
"4","2397654",0.0548733542804918,1.26063849158115
"5","11399",0.0468147973438987,1.32961685228789
"6","2858306",0.0221213683527762,1.6551880125536
"7","2856753",0.0147275427030194,1.83186970933827
"8","106445",0.00450330977267785,2.34646817785665
"9","2977987",0.00444297546979234,2.35232608454514
"10","2844675",0.00385877556507717,2.41355048022182
"11","2868420",0.00364449177308451,2.43836302579156
"12","2810186",0.00238656848754893,2.62222609813503
"13","2979236",0.00210736382295399,2.6762604797402
"14","2433343",0.00183499880322724,2.73636421465548
"15","2857939",0.000971248491919925,3.01266964252963
"16","2766573",0.000910326174464819,3.04080296988859
"17","2830065",0.000732118878827498,3.1354183940414
"18","2940127",0.000652370150831723,3.18550591830257
"19","2773380",0.000611587700907396,3.21354125687934
"20","2933897",0.000431104122782404,3.36541782383345
"21","2850548",0.000381432013211231,3.41858285985443
"22","2798948",0.000367694016535417,3.43451343732394
"23","2968460",0.000265068058079463,3.57664260359708
"24","2849030",0.000163612790593229,3.78618274793288
"25","2762999",0.000150297325405443,3.82304874776966
"26","2922465",0.000146802730153526,3.83326586758353
"27","2913227",0.000116302641525545,3.93441042123939
"28","2844843",0.000104295952479025,3.9817325453619
"29","2871295",0.00010065368970945,3.99717030034728
"30","2373771",8.68033165195617e-05,4.06146368129092
"31","2853210",7.99124936580678e-05,4.0973853170241
"32","2783538",4.0236600414771e-05,4.3953787198874
"33","2872562",3.9530075975485e-05,4.40307235095675
"34","2914506",3.66097721885306e-05,4.43640297359243
"35","2759958",2.32324471702971e-05,4.63390504174603
"36","2846918",1.99680520936959e-05,4.69966429898609
"37","1758712",1.88175247759043e-05,4.72543750348386
"38","2860679",1.75779841747889e-05,4.75503093085282
"39","2859679",1.62591306299274e-05,4.78890267969639
"40","809536",1.59529745582314e-05,4.7971583274167
"41","2858309",1.26340348148117e-05,4.89845793068213
"42","2857619",1.22907140903046e-05,4.91042288387762
"43","2858140",1.17191770774118e-05,4.93110288347892
"44","2910290",1.15931185185859e-05,4.93579972424018
"45","2963665",1.0113040473011e-05,4.99511825468262
"46","185108",8.9341826733924e-06,5.04894517194083
"47","709682",6.93160490074063e-06,5.15916619989902
"48","2838642",6.20345171306846e-06,5.2073665939196
"49","457381",5.53068378798669e-06,5.25722117122858
"50","2846207",4.59074779149464e-06,5.33811656603836
"51","77574",4.08644716604528e-06,5.38865411173192
"52","2852135",3.74859887399159e-06,5.42613102960575
"53","22418",3.74763476192951e-06,5.42624274131889
"54","283816",3.68813882208053e-06,5.43319274040342
"55","2891709",3.23979375518046e-06,5.48948263603969
"56","2865731",2.97130115124472e-06,5.52705332877673
"57","2905646",2.12958621466734e-06,5.67170477315475
"58","2779943",2.1048509643781e-06,5.67677864930081
"59","2864116",1.98620021945846e-06,5.70197697445941
"60","1486080",1.72757332458311e-06,5.7625635105031
"61","2570338",1.57855567385462e-06,5.80174009643159
"62","2917636",1.28798139565441e-06,5.8900904101307
"63","2780307",1.08045289969907e-06,5.96639416061474
"64","2842378",1.01692104059454e-06,5.99271276680719
"65","2848645",5.85476953713238e-07,6.23249019550564
"66","1948992",5.10037353452947e-07,6.29239801644237
"67","2780604",5.09231714099383e-07,6.29308455704222
"68","2968879",4.86225028852211e-07,6.3131626892347
"69","23258",4.00123144245147e-07,6.39780632708327
"70","400573",3.98568450316483e-07,6.39949708194197
"71","2820339",3.37838411517923e-07,6.47129097358712
"72","2763800",3.30905280592626e-07,6.48029630230542
"73","812802",3.30690141673354e-07,6.48057875180743
"74","2862093",2.38202072003824e-07,6.62305446512061
"75","23651",2.10099075556259e-07,6.6775758585017
"76","2869525",1.79811688174286e-07,6.74518208154265
"77","2913502",1.64958586025488e-07,6.78262507468398
"78","2923159",1.37267700065645e-07,6.86243164290547
"79","2781641",1.15307965252915e-07,6.93814069143986
"80","2127625",1.09319773223044e-07,6.96130127789488
"81","2892268",9.47776643792704e-08,7.02329399789124
"82","1837483",8.13761194331794e-08,7.08950302410352
"83","442700",7.01972769228114e-08,7.15367973459861
"84","803429",5.3286641365899e-08,7.27338165229098
"85","371011",3.56220395373257e-08,7.44828121866142
"86","2857096",3.03194801278245e-08,7.51827824959515
"87","2866728",2.88931446104673e-08,7.53920518876663
"88","2570121",2.84365768537965e-08,7.54612268441849
"89","1833204",2.42661804028712e-08,7.61499857803571
"90","2923817",1.41655175986783e-08,7.84876755201944
"91","2830921",1.38394125991676e-08,7.8588823427083
"92","813205",1.23456273022284e-08,7.90848683793337
"93","2863160",6.43227943647237e-09,8.19163509686503
"94","2777657",4.5029502091199e-09,8.34650285517431
"95","2772228",2.66565906738674e-09,8.57419539679045
"96","371877",2.27831510339055e-09,8.64238621081007
"97","2983407",1.56495941043878e-09,8.80549692204792
"98","2904702",1.45994168401742e-09,8.8356644913493
"99","1618567",9.86620771152441e-10,9.00584974565278
"100","2863165",8.42717669376341e-10,9.07431790007164
"101","152353",3.7169339837523e-10,9.42981515231474
"102","2867162",3.69620804711727e-10,9.43224359178848
"103","2918202",3.48295325903345e-10,9.45805235370141
"104","2867550",3.25295746971076e-10,9.48772161479705
"105","2730355",2.38056615209061e-10,9.62331974567918
"106","2919916",1.15925552441027e-10,9.93582082580509
"107","2983550",7.94921855847402e-11,10.0996755622144
"108","2382791",7.26227496332246e-11,10.1389273119099
"109","2863142",6.65793684784033e-11,10.1766603285492
"110","2840281",5.06406797718318e-11,10.2955004732282
"111","1943079",2.62867539206344e-11,10.5802630404207
"112","2849218",1.80925322254252e-11,10.7425006451597
"113","2849801",8.93158986758606e-15,14.0490712276442
