"","gene","p.val","rank"
"6244","2839736",0.477805425769273,0.320748922881921
"6245","2851034",0.477823210191736,0.320732758283562
"6246","2862161",0.477877714437878,0.320683222089224
"6247","2902779",0.477897969083581,0.320664815090564
"6248","559017",0.477958666413743,0.320609659297087
"6249","2309947",0.478308221941649,0.320292153702156
"6250","2796648",0.478461498574618,0.320153003820956
"6251","562211",0.47871240951711,0.319925314287532
"6252","2866676",0.47886489999113,0.319786994861388
"6253","2818639",0.478959855368761,0.319700886006013
"6254","2763915",0.478962159141714,0.319698797076297
"6255","2459328",0.479116200227225,0.319559144211067
"6256","34475",0.479143751136659,0.31953417143009
"6257","2871533",0.479347535243077,0.319349501385599
"6258","2866401",0.479389347004553,0.319311621091984
"6259","394606",0.479443608681215,0.319262466446979
"6260","2841349",0.479506015619948,0.319205940038342
"6261","2759241",0.479533500995143,0.319181046910214
"6262","2858706",0.479632191684312,0.319091675861604
"6263","2858325",0.479633685788595,0.319090322991122
"6264","2919269",0.479742462196418,0.318991840255271
"6265","2857325",0.479842221671848,0.318901540794305
"6266","2185670",0.480091620800301,0.318675873851598
"6267","2024272",0.480096569080746,0.318671397623052
"6268","2825090",0.480345879944489,0.318445930006656
"6269","2985318",0.48051884291274,0.318289577376136
"6270","2832566",0.480531377444716,0.318278248773414
"6271","2922129",0.480548163741679,0.318263077924736
"6272","802972",0.480755027327701,0.318076165582954
"6273","2861794",0.480976065754079,0.317876534373679
"6274","2846488",0.480984349101897,0.317869055038368
"6275","2860246",0.481047864168412,0.317811709260202
"6276","2943800",0.481095954869662,0.317768294698288
"6277","2853372",0.481139331271672,0.317729139759113
"6278","2850811",0.481158515726086,0.317711823493224
"6279","2848498",0.481179573877233,0.317692816786657
"6280","2861072",0.481227331374368,0.317649714815175
"6281","2773750",0.481277612643911,0.317604339717496
"6282","2188267",0.481290978675378,0.317592278668001
"6283","799587",0.481551175111603,0.317357553009657
"6284","2852239",0.481977762817664,0.316972998500494
"6285","2848594",0.482048410779777,0.316909344585282
"6286","2858513",0.482066328197885,0.316893202448873
"6287","2158090",0.482080583605206,0.316880359914895
"6288","2862736",0.482129539217631,0.316836259252914
"6289","2866417",0.482276831217837,0.316703601266869
"6290","2904702",0.482289359242633,0.316692319818085
"6291","2937777",0.482646887154467,0.316370490460092
"6292","2304038",0.482919201121709,0.316125526479086
"6293","2861709",0.483000920304688,0.316052041747728
"6294","2843487",0.483001747006285,0.316051298412428
"6295","2862208",0.48305890151639,0.315999910565461
"6296","2872735",0.483098740662909,0.315964094626629
"6297","1883718",0.483162285666701,0.315906972909439
"6298","2870439",0.483470994894085,0.315629575635375
"6299","2847849",0.483699237093194,0.315424597594958
"6300","2901933",0.484067429722365,0.315094137701423
"6301","800731",0.484163869186817,0.31500762298653
"6302","75708",0.484209407283289,0.31496677728269
"6303","620990",0.48421207168446,0.314964387548982
"6304","2847806",0.484343875103752,0.314846187876081
"6305","2865688",0.4846604322713,0.314562434677221
"6306","2058337",0.48489228333039,0.31435472727589
"6307","2813717",0.484913366984267,0.314335844081024
"6308","2845760",0.484929110046729,0.314321744626075
"6309","2800622",0.484962889276521,0.314291493560765
"6310","2930221",0.485220148277146,0.314061173790814
"6311","2870992",0.485261122615336,0.31402450141079
"6312","2866895",0.485270199946307,0.314016377541607
"6313","2925889",0.485393001201831,0.31390648997635
"6314","2892801",0.485413026877434,0.313888572822644
"6315","2856898",0.485488002913887,0.313821497646139
"6316","2857309",0.485517187967211,0.313795390869912
"6317","2865642",0.485586926208985,0.313733014584631
"6318","2846573",0.485709327722331,0.313623556112225
"6319","2858106",0.485849879409589,0.313497900728227
"6320","2916795",0.485875153928073,0.313475308773639
"6321","2814109",0.485876160287333,0.313474409250753
"6322","797531",0.485878182045342,0.313472602130766
"6323","1795976",0.486391738919865,0.313013809911277
"6324","2979820",0.486497183563277,0.312919669612419
"6325","2861948",0.486650791165844,0.312782566239736
"6326","2856351",0.486842174370167,0.312611806565902
"6327","87256",0.486899562519425,0.312560615668698
"6328","2892770",0.486927788144426,0.312535440296121
"6329","2872093",0.486990323852073,0.312479667819039
"6330","2894063",0.487418199194956,0.312098259184149
"6331","2868357",0.487533463569182,0.311995569617412
"6332","2857474",0.487631440714484,0.311908300410914
"6333","2847087",0.487658203394613,0.311884465677563
"6334","2915595",0.487971985324766,0.31160511030898
"6335","2983346",0.487998077187186,0.311581889203519
"6336","2863345",0.488151571809986,0.311445307956367
"6337","2850019",0.488282708969209,0.311328654647309
"6338","2853466",0.488300558331199,0.311312779135864
"6339","2891867",0.488343640710597,0.311274463360947
"6340","18260",0.48838294382011,0.311239511668503
"6341","1901706",0.488537598384717,0.311102006883478
"6342","133043",0.488873533208811,0.310803474072848
"6343","2867004",0.488914603646344,0.310766990373102
